FID,NO,ID_1,ID_2,ID3,DATE_BEGIN,DATA_EXPIR,NAME,ADDRESS,STATE,ZIP,LAT,LONG,CAFO_TYPE,CAFO_SUBTY,SIS_CODE,ANIMAL_CNT,E_ANIMAL_C,AU,E_AU,MANURE_AMT,E_MANURE_A,T_MANURE_A,NOTE,x,y
41,104,TXG920342,CN600919070,RN101701951,10/23/2004, ,MC-6 CATTLE FEEDERS INC,5050 US HIGHWAY 385 HEREFORD,TX,79045,35.025277,-102.37361,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,120450, ,120450, ,-11396179,4167318
42,105,TXG920344,CN603592346,RN101979375,10/24/2004, ,KENNETH CHRISTIE FARMS INC,"195 Co Rd 608A, Friona, TX 79035, USA",TX,79045,34.7,-102.52333,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9308, ,9308, ,-11412846,4123187
43,107,TXG920352,CN600788426,RN101511657,10/23/2004, ,XCL FEEDERS INC,3076 FM 1058 HEREFORD,TX,79045,34.822777,-102.51527,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,22100, ,22100, ,-11411949,4139824
44,108,TXG920353,CN601232127,RN102335239,10/23/2004, ,"YOUNGBLOOD, PATRICIA ANN","17 Rd, Lefors, TX 79054, USA",TX,79054,35.478333,-100.80333,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3723, ,3723, ,-11221376,4229077
45,109,TXG920353,CN601548266,RN102335239,10/23/2004, ,"DEVUYST, RICHARD","17 Rd, Lefors, TX 79054, USA",TX,79054,35.478333,-100.80333,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,3723, ,3723, ,-11221376,4229077
46,110,TXG920355,CN601235070,RN101701225,10/24/2004, ,FREEMAN FAMILY RANCH LTD,"Co Rd 31, Gruver, TX 79040, USA",TX,73949,36.46,-101.63,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,56721, ,56721, ,-11313401,4364104
47,112,TXG920360,CN601090509,RN101985059,10/21/2004, ,KIRKLAND FEEDYARD INC,6850 COUNTY ROAD 36 VEGA,TX,79092,35.275,-102.43055,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,48728, ,48728, ,-11402518,4201316
48,118,TXG920378,CN602843203,RN102214905,10/27/2004, ,BROWN CATTLE FEEDERS INC,"Co Rd 15, Friona, TX 79035, USA",TX,79035,34.958653,-102.937614,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,13775, ,13775, ,-11458964,4158264
49,119,TXG920382,CN600524805,RN102739364,10/27/2004, ,MGM CATTLE CO LTD,12811 E HIGHWAY 90 KINGSBURY,TX,78638,29.645833,-97.791666,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,8103, ,8103, ,-10886119,3458106
50,120,TXG920391,CN600796502,RN101521946,10/25/2004, ,SOUTHERN LIVESTOCK INC,2462 FM 2091 N GONZALES,TX,78629,29.530757,-97.540138,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,12410, ,12410, ,-10858119,3443375
51,121,TXG920395,CN601129547,RN102094851,10/24/2004, ,SPUR HOLDINGS LTD,3493 FM 539 FLORESVILLE,TX,78114,29.227777,-98.1075,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,18615, ,18615, ,-10921278,3404670
52,122,TXG920404,CN602984908,RN102287034,10/24/2004, ,STARR FEEDYARDS LTD,144 STARR FEED YARDS RD RIO GRANDE CITY,TX,78582,26.542777,-98.604722,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,32485, ,32485, ,-10976628,3066464
53,124,TXG920440,CN600797195,RN101522837,10/24/2004, ,HANSFORD COUNTY FEEDERS LP,13800 COUNTY ROAD 19 SPEARMAN,TX,79081,36.286944,-101.29194,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,145854, ,145854, ,-11275768,4340177
54,125,TXG920441,CN602787632,RN101715423,10/24/2004, ,DUMAS FEEDYARD LLC,11301 US HIGHWAY 287 DUMAS,TX,79029,35.915833,-101.98277,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,38006, ,38006, ,-11352671,4289047
55,126,TXG920456,CN600923148,RN100677574,10/27/2004, ,FRIONA INDUSTRIES LP,15000 FM 2219 AMARILLO,TX,79119,35.062222,-102.01888,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,153957, ,153957, ,-11356691,4172341
56,127,TXG920457,CN600923148,RN102336583,10/27/2004, ,FRIONA INDUSTRIES LP,6656 FM 214 TULIA,TX,79088,34.632777,-101.89,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,139613, ,139613, ,-11342344,4114089
57,128,TXG920458,CN600923148,RN102342748,10/27/2004, ,FRIONA INDUSTRIES LP,1640 FM 37 AMHERST,TX,79312,34.010277,-102.34861,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,133700, ,133700, ,-11393396,4030183
58,129,TXG920459,CN600923148,RN102186871,10/27/2004, ,FRIONA INDUSTRIES LP,2370 FM 3140 FRIONA,TX,79035,34.638888,-102.63833,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,102343, ,102343, ,-11425648,4114916
59,132,TXG920472,CN600800585,RN101527000,10/14/2004, ,"GRAHAM, CHARLES WESLEY",3772 S US HIGHWAY 183 GONZALES,TX,78629,29.436666,-97.435277,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,48727, ,48727, ,-10846446,3431343
60,133,TXG920476,CN600922181,RN101718666,10/28/2004, ,NOLAN COUNTY FEEDERS LLC,"1127 Co Rd 138, Roscoe, TX 79545, USA",TX,79545,32.483333,-100.56666,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,14000, ,14000, ,-11195030,3826925
61,134,TXG920477,CN600797658,RN102894573,11/6/2004, ,"WAGGONER, QUINT",2499 US HIGHWAY 385 DIMMITT,TX,79027,34.395833,-102.30277,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5470, ,5470, ,-11388293,4082078
62,138,TXG920510,CN600792899,RN101517217,2/10/2005, ,RUNNELLS PETERS FEEDYARDS LLC,1444 FM 1665 QUEMADO,TX,78877,28.890277,-100.57,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,41418, ,41418, ,-11195402,3361689
63,139,TXG920518,CN601682388,RN101611432,2/17/2005, ,"SMITH, DWAYNE","400 Co Rd 620, Dimmitt, TX 79027, USA",TX,79027,34.472222,-102.47916,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,6570, ,6570, ,-11407929,4092388
64,149,TXG920527,CN601559032,RN102075447,2/28/2005, ,"IMMEL, ALTON R","9744 Ranch Rd, Stonewall, TX 78671, USA",TX,78624,30.38693,-98.60043,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,2664.5, ,2664.5, ,-10976151,3553384
65,150,TXG920530,CN600528376,RN101916427,2/26/2005, ,LUCKEY CUSTOM FEEDLOT INC,2242 FM 3176 DEVINE,TX,78016,29.079166,-98.9125,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,20942, ,20942, ,-11010890,3385727
66,151,TXG920531,CN601599863,RN101526051,2/26/2005, ,QUALITY BEEF PRODUCERS LP,5000 INTERSTATE 40 WILDORADO,TX,79098,35.208333,-102.16944,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,61320, ,61320, ,-11373451,4192230
67,152,TXG920533,CN600528095,RN102739372,2/26/2005, ,MORALES FEED LOTS INC,480 PRIVATE ROAD 7621 DEVINE,TX,78016,29.106111,-98.945555,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,40606, ,40606, ,-11014570,3389159
68,153,TXG920536,CN602861452,RN101516623,2/26/2005, ,"STEPHENS, JERRY",31 COUNTY ROAD 235 MULESHOE,TX,79347,34.305555,-102.63027,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,24309, ,24309, ,-11424750,4069906
69,154,TXG920536,CN602861460,RN101516623,2/26/2005, ,"STEPHENS, MARY",31 COUNTY ROAD 235 MULESHOE,TX,79347,34.305555,-102.63027,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,24309, ,24309, ,-11424750,4069906
70,162,TXG920543,CN603573460,RN102079092,2/26/2005, ,PERRYTON FEEDERS LLC,13210 HIGHWAY 70 PERRYTON,TX,79070,36.224583,-100.81125,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,43800, ,43800, ,-11222258,4331569
71,163,TXG920544,CN602855637,RN104944855,3/2/2005, ,USA FEEDYARD LP,8370 COUNTY RD W GRUVER,TX,79040,36.181944,-101.57638,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,93039, ,93039, ,-11307432,4325686
72,164,TXG920549,CN600801377,RN101721140,2/26/2005, ,BOVINA FEEDERS INC,1355 FM 145 FARWELL,TX,79325,34.375,-102.80222,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,105120, ,105120, ,-11443892,4079268
73,165,TXG920552,CN600798045,RN101523892,2/26/2005, ,CATTLE TOWN FEEDERS LTD,2800 US HIGHWAY 60 FRIONA,TX,79035,34.728611,-102.51908,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,109500, ,109500, ,-11412373,4127062
