state_code,county_code,livestock,quarter,risk,riskp
1,113,cattle,1,131048.79657188062,Low
1,115,cattle,1,120571.65117509727,Low
1,117,cattle,1,47013.56732955922,Low
1,119,cattle,1,366730.45671862393,Low
1,121,cattle,1,125847.7166230013,Low
1,123,cattle,1,91208.13404587573,Low
1,125,cattle,1,61315.87651499185,Low
1,127,cattle,1,39656.12752291283,Low
1,129,cattle,1,53676.022989363984,Low
1,131,cattle,1,155900.6812172613,Low
1,133,cattle,1,54657.21193217727,Low
4,1,cattle,1,249785.61080288445,Low
4,3,cattle,1,1269555.768445336,Low
4,5,cattle,1,188609.60577966797,Low
4,7,cattle,1,574309.7435579699,Low
4,9,cattle,1,164007.0392116833,Low
4,11,cattle,1,3998.3591061008988,Low
4,12,cattle,1,3219398.5850283597,Medium
4,13,cattle,1,11088317.100448363,High
4,15,cattle,1,121874.42917780693,Low
4,17,cattle,1,128656.89125540337,Low
4,19,cattle,1,66237.63377254196,Low
4,21,cattle,1,8952715.506974045,High
4,23,cattle,1,62016.2645904517,Low
4,25,cattle,1,142730.80455826278,Low
4,27,cattle,1,4316979.83922622,Medium
5,1,cattle,1,686765.1698764971,Low
5,3,cattle,1,335535.84332543076,Low
5,5,cattle,1,145980.1884871213,Low
5,7,cattle,1,1186269.8299937712,Low
5,9,cattle,1,401470.1648487779,Low
5,11,cattle,1,130060.39575990758,Low
5,13,cattle,1,74235.39743975985,Low
5,15,cattle,1,652533.6983195557,Low
5,17,cattle,1,1048044.1417848162,Low
5,19,cattle,1,198352.56615685293,Low
5,21,cattle,1,4161865.3751749396,Medium
5,23,cattle,1,216138.9674973328,Low
5,25,cattle,1,37976.947399970086,Low
5,27,cattle,1,77452.77544564703,Low
5,29,cattle,1,1167436.0491116096,Low
5,31,cattle,1,1312273.478310245,Low
5,33,cattle,1,1165198.7586024208,Low
5,35,cattle,1,465614.77369635476,Low
5,37,cattle,1,762107.3978292928,Low
5,39,cattle,1,8813.09128299734,Low
5,41,cattle,1,148627.89050591513,Low
5,43,cattle,1,978836.9105640303,Low
5,45,cattle,1,292592.5356536983,Low
5,47,cattle,1,802522.6022121826,Low
5,49,cattle,1,524224.64707400027,Low
5,51,cattle,1,58120.89644648285,Low
5,53,cattle,1,106868.21157265661,Low
5,55,cattle,1,2768888.365395654,Medium
5,57,cattle,1,1223240.6813166074,Low
5,59,cattle,1,154726.679265246,Low
5,61,cattle,1,451873.74054593313,Low
5,63,cattle,1,3401878.035219389,Medium
5,65,cattle,1,231543.23930486932,Low
5,67,cattle,1,821002.2887598386,Low
5,69,cattle,1,1300613.9090793973,Low
5,71,cattle,1,494102.1628908939,Low
5,73,cattle,1,4551619.561278771,Medium
5,75,cattle,1,4147671.850178203,Medium
5,77,cattle,1,399080.7012544625,Low
5,79,cattle,1,813210.8935459435,Low
5,81,cattle,1,2697640.5976631665,Medium
5,83,cattle,1,1829223.9105367705,Medium
5,85,cattle,1,3576569.9089280283,Medium
5,87,cattle,1,407640.94398794376,Low
5,89,cattle,1,194858.0722500757,Low
5,91,cattle,1,2145400.8458663365,Medium
5,93,cattle,1,1293907.1406265544,Low
5,95,cattle,1,172841.9982974454,Low
5,97,cattle,1,113473.93034729049,Low
5,99,cattle,1,175638.65102233217,Low
5,101,cattle,1,73105.55831182454,Low
5,103,cattle,1,35305.36581903172,Low
5,105,cattle,1,178902.95559664076,Low
5,107,cattle,1,874362.9590224111,Low
5,109,cattle,1,173535.895587807,Low
5,111,cattle,1,831537.5759297035,Low
5,113,cattle,1,223573.09386486575,Low
5,115,cattle,1,1281359.9475765408,Low
5,117,cattle,1,1708579.2415679835,Medium
5,119,cattle,1,494759.4128128971,Low
5,121,cattle,1,4308138.091652179,Medium
5,123,cattle,1,476133.4256489945,Low
5,125,cattle,1,48511.94279954773,Low
5,127,cattle,1,186419.60779275972,Low
5,129,cattle,1,143642.1682502185,Low
5,131,cattle,1,528002.181906081,Low
5,133,cattle,1,806102.737722142,Low
5,135,cattle,1,352018.71330318815,Low
