time,county_code,present,event,delta
2024-10-30 04:00:00+00:00,6081,1,12,30
2024-10-30 04:00:00+00:00,6037,1,14,30
2024-10-30 04:00:00+00:00,6075,1,10,30
2024-10-31 04:00:00+00:00,6075,1,10,30
2024-10-31 04:00:00+00:00,6081,1,12,30
2024-10-31 04:00:00+00:00,6085,1,11,30
2024-10-31 04:00:00+00:00,6067,1,13,30
2024-11-01 04:00:00+00:00,6075,1,10,30
2024-11-01 04:00:00+00:00,6081,1,12,30
2024-11-01 04:00:00+00:00,6099,1,9,30
2024-11-01 04:00:00+00:00,6067,1,13,30
2024-11-01 04:00:00+00:00,6085,1,11,30
2024-11-02 04:00:00+00:00,6085,1,11,30
2024-11-02 04:00:00+00:00,6067,1,13,30
2024-11-03 04:00:00+00:00,6037,1,14,30
2024-11-03 04:00:00+00:00,6081,1,12,30
2024-11-03 04:00:00+00:00,6067,1,13,30
2024-11-03 04:00:00+00:00,6075,1,10,30
2024-11-03 04:00:00+00:00,6085,1,11,30
2024-11-04 05:00:00+00:00,6037,1,14,30
2024-11-04 05:00:00+00:00,6075,1,10,30
2024-11-04 05:00:00+00:00,6081,1,12,30
2024-11-04 05:00:00+00:00,6085,1,11,30
2024-11-04 05:00:00+00:00,6067,1,13,30
2024-11-04 05:00:00+00:00,6099,1,9,30
2024-11-05 05:00:00+00:00,6081,1,12,30
2024-11-05 05:00:00+00:00,6067,1,13,30
2024-11-05 05:00:00+00:00,6085,1,11,30
2024-11-05 05:00:00+00:00,6075,1,10,30
2024-11-06 05:00:00+00:00,6071,1,15,30
2024-11-06 05:00:00+00:00,6067,1,13,30
2024-11-06 05:00:00+00:00,6037,1,14,30
2024-11-06 05:00:00+00:00,6047,1,16,30
2024-11-06 05:00:00+00:00,6075,1,10,30
2024-11-06 05:00:00+00:00,6099,1,9,30
2024-11-06 05:00:00+00:00,6085,1,11,30
2024-11-06 05:00:00+00:00,6081,1,12,30
2024-11-07 05:00:00+00:00,6071,1,15,30
2024-11-07 05:00:00+00:00,6085,1,11,30
2024-11-07 05:00:00+00:00,6067,1,13,30
2024-11-07 05:00:00+00:00,6081,1,12,30
2024-11-07 05:00:00+00:00,6075,1,10,30
2024-11-08 05:00:00+00:00,6075,1,10,30
2024-11-08 05:00:00+00:00,6099,1,9,30
2024-11-08 05:00:00+00:00,6055,1,17,30
2024-11-08 05:00:00+00:00,6083,1,18,30
2024-11-08 05:00:00+00:00,6085,1,11,30
2024-11-08 05:00:00+00:00,6067,1,13,30
2024-11-08 05:00:00+00:00,6081,1,12,30
2024-11-08 05:00:00+00:00,6047,1,16,30
2024-11-09 05:00:00+00:00,6085,1,11,30
2024-11-09 05:00:00+00:00,6067,1,13,30
2024-11-10 05:00:00+00:00,6067,1,13,30
2024-11-10 05:00:00+00:00,6073,1,19,30
2024-11-10 05:00:00+00:00,6037,1,14,30
2024-11-10 05:00:00+00:00,6085,1,11,30
2024-11-11 05:00:00+00:00,6081,1,12,30
2024-11-11 05:00:00+00:00,6037,1,14,30
2024-11-11 05:00:00+00:00,6065,1,20,30
2024-11-11 05:00:00+00:00,6047,1,16,30
2024-11-11 05:00:00+00:00,6085,1,11,30
2024-11-11 05:00:00+00:00,6099,1,9,30
2024-11-11 05:00:00+00:00,6055,1,17,30
2024-11-11 05:00:00+00:00,6073,1,19,30
