month	state	Avian-Domestic-Other	Avian-Wild	Cattle	Chicken	Human	Nonhuman-mammal	Turkey	Unknown
2022-06	AK	0.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0
2022-06	CO	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	FL	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	GA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	ID	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	IN	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	MA	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	ME	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	MI	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	MN	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	MT	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	ND	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	NH	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	NJ	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	NY	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	OR	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	PA	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	RI	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	USA	0.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0
2022-06	UT	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	VA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	WA	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-06	WI	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	AK	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	CA	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	FL	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	IA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	IL	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	ME	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	MN	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	MT	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	NV	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	NY	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	OR	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	PA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07	USA	0.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0
2022-07	WA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	AK	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	CA	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	FL	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	GA	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	IA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	IN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	MA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	ME	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	MI	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	MN	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	MT	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	ND	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	NJ	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	NV	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	NY	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	OH	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	OR	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	PA	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0
2022-08	SC	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	USA	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	UT	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	VA	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	WA	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08	WI	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
