id,name,country,lt,ln,pop
241,Villa Carlos Paz,ARG,-31.42000853,-64.50000126,60256
242,Chumbicha,ARG,-28.86662433,-66.23330632,2572
243,Tinogasta,ARG,-28.06662148,-67.56658411,587
244,Abra Pampa,ARG,-22.7166638,-65.6999797,4480
245,Humahuaca,ARG,-23.19999347,-65.34994938,11369
246,Susques,ARG,-23.41667275,-66.4833169,1093
247,Chepes,ARG,-31.34998696,-66.5999506,6020
248,Yacuiba,ARG,-22.03003904,-63.69999841,64811
249,Tartagal,ARG,-22.55000731,-63.81001754,59996.5
250,Joaquin V. Gonzalez,ARG,-25.08334105,-64.18335392,13376
251,General Guemes,ARG,-24.6666223,-65.04996769,19828
252,Trancas,ARG,-26.21665688,-65.28331262,1599
253,Presidencia Roque Saenz Pena,ARG,-26.7900069,-60.45001591,75958
254,Pampa del Infierno,ARG,-26.51658689,-61.16658716,2921
255,Villa Angela,ARG,-27.58329181,-60.7166663,30051
256,Ingeniero Guillermo N. Juarez,ARG,-23.90000242,-61.84998214,6453
257,Comandante Fontana,ARG,-25.33329995,-59.68331852,4277
258,Doctor Pedro P. Pena,ARG,-22.47998574,-62.29998051,6143
259,San Lorenzo,ARG,-28.12000324,-58.76998926,25833.5
260,Corrientes,ARG,-27.48996417,-58.80998682,339945
261,Concepcion del Uruguay,ARG,-32.47999551,-58.23999577,48275
262,Victoria,ARG,-32.61001341,-60.17998071,20032.5
263,Gualeguay,ARG,-33.15003213,-59.34000615,25913
264,Parana,ARG,-31.73332273,-60.53334416,226852
265,Villa Constitucion,ARG,-33.23002724,-60.35002202,30282.5
266,Rafaela,ARG,-31.25004474,-61.49997766,69649
267,Eldorado,ARG,-26.20001707,-54.59998539,17365
268,Rodeo,ARG,-30.21558592,-69.1399506,701
269,Las Plumas,ARG,-43.41627887,-67.24998845,605
270,Gastre,ARG,-42.28296303,-69.23330408,557
271,Telsen,ARG,-42.39959674,-66.95000676,493
272,Malargue,ARG,-35.46611815,-69.58330855,11847
273,Tunuyan,ARG,-33.56618244,-69.01667647,22834
274,La Paz,ARG,-33.46613686,-67.54999597,4400
275,Chos Malal,ARG,-37.38295205,-70.26657434,8556
276,Las Lajas,ARG,-38.51626788,-70.36659408,1218
277,Zarate,ARG,-34.08956134,-59.04002446,86192
278,Carhue,ARG,-37.1828609,-62.73331323,7190
279,Darregueira,ARG,-37.69957355,-63.16659428,3412
280,Juarez,ARG,-37.66551878,-59.80002975,10609
281,Mar de Ajo,ARG,-36.71622272,-56.67660283,13610
282,Lobos,ARG,-35.184895,-59.09467228,18278
283,Chascomus,ARG,-35.56621539,-58.01662439,21054
284,Junin,ARG,-34.58456989,-60.95887374,66141.5
285,La Plata,ARG,-34.90961465,-57.95996118,440388.5
286,Pergamino,ARG,-33.89959878,-60.56998275,71448
287,Lujan,ARG,-34.57960895,-59.10999435,69744.5
288,Azul,ARG,-36.7796297,-59.86999964,43407.5
289,Villalonga,ARG,-39.88285114,-62.58332239,2838
290,Victorica,ARG,-36.21625324,-65.45002079,4458
291,General Pico,ARG,-35.65959471,-63.77001998,46483
292,San Antonio Oeste,ARG,-40.73287677,-64.93328231,8492
293,Sierra Colorado,ARG,-40.58286009,-67.79998071,1522
294,Mercedes,ARG,-33.68958576,-65.4699679,49345
295,Rio Tercero,ARG,-32.1796004,-64.12002446,38049.5
296,Belen,ARG,-27.64959267,-67.03328333,11359
297,Rinconada,ARG,-22.43290851,-66.16659204,6209.5
298,San Pedro,ARG,-24.21962116,-64.87000452,55249
299,Libertador General San Martin,ARG,-23.81954222,-64.78998356,47559
300,Chilecito,ARG,-29.16552081,-67.49999903,20343
301,Chamical,ARG,-30.34958291,-66.3166604,8989
302,Los Blancos,ARG,-23.59960732,-62.60003972,1145
303,Cafayate,ARG,-26.08291828,-65.96660425,9478
304,Cerrillos,ARG,-24.89963133,-65.48330042,11498
305,San Antonio de los Cobres,ARG,-24.18293089,-66.35001754,4000
306,Anatuya,ARG,-28.46613198,-62.83330713,14133
307,Frias,ARG,-28.64958331,-65.14998743,13594
308,Monte Quemado,ARG,-25.79962807,-62.86658675,11387
309,Juan Jose Castelli,ARG,-25.9495414,-60.61664657,9421
310,Charata,ARG,-27.21628579,-61.19999597,18297
311,Las Lomitas,ARG,-24.69959186,-60.60000676,7683
312,Mercedes,ARG,-29.1795768,-58.0799797,22872.5
313,Concordia,ARG,-31.38957111,-58.02998275,132760.5
314,Sunchales,ARG,-30.93290648,-61.56661442,12655
315,San Justo,ARG,-30.78288979,-60.58328943,9607
316,Vera,ARG,-29.4661743,-60.21659347,9979
317,Reconquista,ARG,-29.13952757,-59.65001306,86640.5
318,Venado Tuerto,ARG,-33.74958209,-61.97000065,52079
319,Esquel,ARG,-42.90003131,-71.31661361,20048
320,Zapala,ARG,-38.90001707,-70.06666406,19152
321,Olavarria,ARG,-36.90003579,-60.3299974,65059
322,Tandil,ARG,-37.32001015,-59.15004358,84799.5
323,Viedma,ARG,-40.79995278,-63.0000153,54031
324,San Luis,ARG,-33.29999713,-66.35001754,308146
325,Rio Cuarto,ARG,-33.13003335,-64.34998458,135959.5
326,San Salvador de Jujuy,ARG,-24.1833443,-65.30002995,258739
327,San Ramon de la Nueva Oran,ARG,-23.13999713,-64.32001225,69461.5
328,Goya,ARG,-29.13999266,-59.26998458,71274.5
329,Puerto San Julian,ARG,-49.30000242,-67.71665247,2347
330,Perito Moreno,ARG,-46.60001219,-70.93335535,3766
331,Rio Grande,ARG,-53.79144552,-67.6989952,31095
332,Ushuaia,ARG,-54.79000324,-68.31000126,50483.5
333,Sarmiento,ARG,-45.60002155,-69.08331323,5185
334,San Rafael,ARG,-34.60002114,-68.33333317,79523.5
335,Necochea,ARG,-38.55998615,-58.74999048,70562
336,Rio Colorado,ARG,-38.96657632,-64.08328251,11499
337,Catamarca,ARG,-28.47000771,-65.78000065,162586
338,La Rioja,ARG,-29.40995034,-66.84996118,147130
339,Santiago del Estero,ARG,-27.78333128,-64.26665633,317549.5
340,Resistencia,ARG,-27.45999184,-58.99002751,368455.5
341,Gualeguaychu,ARG,-33.02001422,-58.52000452,55860.5
